13,63,1
35,40,2
76,94,2
33,74,2
38,97,0
46,27,2
21,29,0
68,77,0
66,45,1
13,78,0
59,31,0
100,16,0
26,68,0
49,54,1
17,43,1
11,49,2
65,82,1
16,38,0
20,46,0
100,20,1
70,15,0
97,64,0
29,33,2
85,55,2
55,86,1
15,9,2
78,68,1
97,79,1
2,70,2
24,80,0
19,32,1
92,11,1
32,34,1
98,1,2
66,21,2
28,49,1
73,70,1
67,67,0
18,78,1
30,27,1
50,9,0
82,3,1
54,85,1
15,92,1
5,14,1
8,6,1
79,88,1
15,46,0
38,48,2
51,58,2
71,13,0
39,98,1
65,39,1
94,47,0
9,76,2
60,49,1
8,65,1
41,48,0
83,97,1
53,85,2
44,86,1
58,71,0
32,79,1
57,49,2
29,6,1
57,83,2
42,59,1
81,98,1
34,37,1
60,92,0
87,97,0
90,29,0
95,17,2
8,93,1
27,88,1
63,53,2
17,85,0
100,56,1
100,27,1
28,72,2
35,71,1
79,86,2
90,89,2
67,84,2
16,47,0
70,78,1
55,13,1
72,69,2
64,51,2
65,63,0
39,99,1
39,23,1
98,40,1
61,91,1
63,4,2
80,15,1
46,27,1
59,78,1
85,63,1
39,54,1
5,87,1
30,49,2
46,96,0
53,40,1
68,57,1
73,46,0
67,36,1
99,14,1
59,83,0
63,47,1
43,76,1
88,50,1
74,42,2
60,41,1
30,28,1
51,58,2
41,11,1
81,3,1
14,33,1
38,26,0
52,13,0
67,81,0
32,23,1
66,97,0
60,57,1
85,71,2
26,16,2
83,24,2
24,75,1
68,12,1
49,10,1
67,48,0
41,10,1
25,15,0
42,62,1
51,27,2
91,12,0
65,49,1
73,28,2
41,13,1
84,55,1
71,37,0
41,63,1
54,9,1
58,68,1
62,91,0
36,22,1
24,63,1
40,64,1
24,9,0
72,21,1
68,21,1
84,27,2
94,64,1
94,30,1
47,95,1
2,33,1
9,35,0
70,30,1
71,36,0
12,8,1
38,89,0
53,87,2
19,79,1
99,21,1
57,73,2
56,30,1
85,9,2
44,50,1
4,1,2
93,89,1
24,11,0
65,28,2
87,20,2
42,45,1
13,7,1
63,9,1
4,93,1
88,40,0
53,82,2
97,73,1
75,22,1
89,25,2
24,20,1
5,43,0
95,60,2
2,40,2
48,16,1
97,74,1
78,98,1
6,4,0
70,71,0
12,94,0
93,34,1
64,18,0
99,1,2
55,60,1
44,50,1
91,11,1
82,35,2
51,47,2
63,2,2
96,83,0
26,40,1
58,32,2
55,45,0
52,98,2
35,66,2
68,39,2
57,8,0
6,41,1
66,47,1
15,63,2
34,65,0
75,37,1
34,100,0
82,4,1
91,54,2
