14,823
29,437
12,803
4,572
13,587
1,148
23,192
12,423
24,434
3,650
12,419
6,143
26,582
10,494
13,714
16,952
3,289
29,603
21,457
11,704
13,789
19,390
29,53
19,158
7,945
28,187
3,997
21,533
19,472
1,26
28,332
27,551
14,264
19,68
18,437
4,164
16,378
8,203
19,501
13,316
21,269
16,251
17,934
14,275
3,746
18,917
27,484
29,483
3,835
12,411
1,80
19,275
2,957
18,429
15,481
10,389
5,438
12,786
19,89
20,772
28,291
24,830
18,183
24,112
3,108
19,772
5,898
19,566
4,416
26,579
29,872
12,72
16,120
29,958
10,870
1,881
28,163
28,404
2,867
25,394
3,279
13,907
19,260
28,874
26,935
1,262
20,749
12,352
4,511
13,486
5,7
21,902
4,127
27,863
13,799
21,170
21,447
23,823
27,248
14,709
23,210
4,118
20,766
7,687
6,396
24,483
28,446
11,384
10,232
16,630
17,164
25,93
18,739
8,9
22,785
28,551
1,274
20,521
17,868
18,421
12,467
7,706
14,292
22,419
12,951
8,564
1,875
5,6
20,796
20,586
6,748
29,413
27,2
2,293
2,974
22,919
26,299
5,822
12,618
20,469
6,107
28,195
27,768
10,606
22,960
18,523
5,87
21,86
22,32
26,811
1,274
1,352
13,86
4,419
17,331
13,521
5,733
23,682
26,149
16,194
9,56
13,710
3,224
21,176
18,152
14,570
6,59
5,525
13,551
19,208
10,946
17,334
21,801
27,371
3,494
26,183
6,268
23,408
18,609
6,566
16,712
20,717
8,717
13,142
22,29
12,755
15,94
21,629
15,968
18,266
12,957
7,650
27,190
27,657
19,733
10,376
7,896
29,1000
11,947
17,399
14,545
27,380
20,264
1,778
15,274
4,4
19,355
2,492
10,525
1,649
20,960
23,990
26,122
7,598
20,596
9,133
20,143
21,971
24,960
20,234
21,236
3,479
26,429
19,191
14,993
1,56
10,870
27,57
7,16
15,122
18,349
10,139
18,160
25,712
4,893
12,130
8,579
9,794
5,791
17,49
23,778
18,68
18,476
1,90
4,645
2,862
23,99
8,267
2,674
21,928
3,925
25,51
14,881
17,540
18,537
27,962
1,740
18,168
2,725
9,290
5,615
20,84
17,191
5,446
16,510
20,949
8,733
22,941
12,552
29,371
10,68
21,469
25,443
5,682
26,514
1,270
8,281
19,145
7,609
29,922
12,722
10,891
13,354
10,617
19,762
10,242
6,949
11,4
11,62
5,232
20,995
1,637
6,485
17,88
7,436
14,294
18,242
12,872
3,445
16,183
26,98
15,262
18,576
1,272
11,444
9,884
19,320
28,78
29,421
2,69
16,152
19,65
25,533
1,892
29,304
29,354
5,597
19,866
23,4
3,579
10,140
25,189
26,131
25,913
4,741
26,700
15,622
6,67
22,968
28,816
22,266
5,680
14,689
13,923
9,248
27,640
22,953
20,185
23,543
7,583
27,831
3,837
26,146
13,658
18,575
23,246
9,370
10,884
16,169
7,803
1,327
11,955
7,923
21,979
15,601
14,710
22,15
20,410
1,529
13,631
10,774
19,917
4,843
27,733
14,592
6,952
26,559
23,962
23,160
29,422
2,662
27,434
27,328
28,633
26,835
8,21
16,187
8,403
4,783
7,535
8,436
10,634
29,468
2,746
14,333
21,353
27,913
19,338
29,456
6,861
17,422
28,508
28,325
24,873
13,880
12,216
12,149
5,781
16,932
17,288
14,721
17,924
18,256
22,544
16,642
12,791
15,76
3,20
17,738
27,590
10,245
19,404
15,697
23,291
21,550
1,692
2,536
22,485
29,138
11,771
22,114
17,706
7,732
21,920
6,491
25,855
26,206
17,551
7,934
26,797
