17,48
14,44
24,4
27,28
40,54
67,57
24,30
93,41
12,15
82,24
82,50
87,20
53,36
50,35
95,43
47,33
94,21
14,23
94,56
77,35
59,2
37,3
96,43
63,10
12,18
67,26
13,4
36,8
29,41
53,5
54,15
51,60
30,3
78,33
23,22
21,18
60,22
33,21
83,20
45,59
63,57
64,50
69,44
93,14
16,22
78,12
67,36
95,40
91,28
53,22
49,40
21,17
65,13
87,33
14,56
54,42
93,45
23,21
8,19
21,49
35,45
51,19
72,32
38,6
85,51
59,42
97,8
92,25
45,47
73,3
94,27
93,33
61,49
68,25
19,32
30,29
59,60
3,27
100,25
84,30
26,2
87,60
50,47
98,31
95,12
52,24
87,14
97,19
47,52
13,8
50,25
78,60
48,18
92,15
81,46
9,37
30,37
43,9
18,33
17,32
20,49
41,11
25,52
57,28
60,36
32,12
27,55
58,47
5,43
25,23
57,6
36,58
28,14
97,47
22,7
5,51
54,38
61,58
16,16
94,31
85,2
37,55
17,23
35,45
40,7
51,14
21,38
28,7
16,34
15,13
94,6
90,17
7,53
90,1
23,39
2,7
50,11
27,42
98,5
3,12
88,57
32,17
49,42
40,9
77,6
4,2
40,12
36,54
26,41
45,5
36,6
24,51
59,38
81,45
15,57
44,16
39,33
80,19
99,33
94,38
63,56
19,59
48,38
70,5
87,58
14,34
91,26
16,35
40,38
85,49
2,46
84,53
28,36
71,50
82,36
71,9
40,52
57,21
67,59
49,49
78,33
100,36
95,15
58,60
2,21
12,18
26,17
1,23
67,21
75,54
34,4
32,50
93,33
88,5
83,51
34,5
37,12
87,39
41,13
71,18
46,23
37,10
15,49
9,20
55,20
32,1
26,32
62,5
50,55
50,10
92,13
72,49
2,19
60,48
46,36
1,26
76,9
78,31
54,1
84,31
57,55
51,48
49,25
22,49
34,31
80,41
2,20
49,40
26,43
5,39
78,51
33,3
19,14
32,60
39,11
19,57
86,52
76,16
81,59
5,2
38,3
42,50
97,47
12,20
9,43
74,49
66,30
64,23
55,8
35,57
26,34
55,7
46,38
46,29
24,3
99,27
4,39
50,47
35,35
90,48
18,27
6,55
76,38
8,12
75,48
80,11
26,57
7,17
15,27
22,44
46,10
3,39
38,32
7,26
44,13
67,19
19,24
85,52
65,42
55,1
8,9
82,42
65,19
36,3
78,54
59,9
53,7
56,20
67,21
29,6
66,45
13,44
20,19
52,12
63,59
29,54
3,30
28,42
77,11
15,49
