4,8,1
2,3,2
47,6,1
8,7,1
16,1,2
58,9,0
13,3,0
54,7,1
77,2,0
62,6,0
84,7,2
20,4,1
81,5,1
94,5,0
68,4,0
87,7,1
83,6,2
59,9,1
8,6,1
23,7,2
67,8,2
19,8,0
70,8,0
51,6,1
77,3,1
14,5,1
62,7,0
62,2,1
47,7,0
98,2,1
45,8,1
42,5,2
30,9,0
24,2,1
2,8,2
37,8,0
89,9,2
57,2,2
74,2,2
27,3,1
44,9,1
94,9,1
94,5,2
51,7,0
37,7,0
11,2,1
63,8,1
45,1,0
41,7,2
88,2,0
9,7,0
100,10,1
21,9,0
38,8,1
7,7,2
28,8,1
62,2,0
52,4,0
65,9,1
83,2,1
83,8,1
47,6,1
60,8,2
71,1,2
96,5,1
82,8,2
80,5,0
42,10,2
7,5,2
58,2,1
76,8,1
88,2,1
52,10,1
6,5,2
90,5,2
74,10,0
82,3,1
7,3,1
38,7,1
70,2,1
20,8,1
14,8,1
39,1,1
63,8,0
13,8,0
7,7,2
88,4,1
69,2,0
41,8,0
90,2,1
94,4,1
52,3,2
6,1,0
30,6,1
48,2,0
77,7,1
56,7,1
18,10,1
90,4,2
78,4,2
23,2,0
20,1,1
46,2,1
27,6,1
21,3,1
90,4,0
48,5,2
55,8,2
47,7,2
27,9,1
