1,99,414,3,2017-08-29 23:32:05
2,56,496,1,2017-08-29 23:32:10
3,50,814,1,2017-08-29 23:32:15
4,63,749,3,2017-08-29 23:32:20
5,31,215,5,2017-08-29 23:32:25
6,88,235,3,2017-08-29 23:32:30
7,90,154,2,2017-08-29 23:32:35
8,58,326,2,2017-08-29 23:32:40
9,38,316,1,2017-08-29 23:32:45
10,23,753,4,2017-08-29 23:32:50
11,36,135,5,2017-08-29 23:32:55
12,45,625,5,2017-08-29 23:33:00
13,29,842,5,2017-08-29 23:33:05
14,68,265,1,2017-08-29 23:33:10
15,33,98,3,2017-08-29 23:33:15
16,35,584,3,2017-08-29 23:33:20
17,50,326,1,2017-08-29 23:33:25
18,13,717,2,2017-08-29 23:33:30
19,100,614,3,2017-08-29 23:33:35
20,71,334,2,2017-08-29 23:33:40
21,93,591,4,2017-08-29 23:33:45
22,95,660,2,2017-08-29 23:33:50
23,70,335,3,2017-08-29 23:33:55
24,99,396,3,2017-08-29 23:34:00
25,92,415,2,2017-08-29 23:34:05
26,84,308,3,2017-08-29 23:34:10
27,43,460,3,2017-08-29 23:34:15
28,2,662,4,2017-08-29 23:34:20
29,36,976,3,2017-08-29 23:34:25
30,78,982,2,2017-08-29 23:34:30
31,77,230,2,2017-08-29 23:34:35
32,53,936,4,2017-08-29 23:34:40
33,28,443,4,2017-08-29 23:34:45
34,85,490,3,2017-08-29 23:34:50
35,57,18,4,2017-08-29 23:34:55
36,88,996,3,2017-08-29 23:35:00
37,46,885,4,2017-08-29 23:35:05
38,52,517,2,2017-08-29 23:35:10
39,53,313,3,2017-08-29 23:35:15
40,94,358,2,2017-08-29 23:35:20
41,49,641,4,2017-08-29 23:35:25
42,78,242,4,2017-08-29 23:35:30
43,75,415,4,2017-08-29 23:35:35
44,92,81,2,2017-08-29 23:35:40
45,73,171,5,2017-08-29 23:35:45
46,72,752,3,2017-08-29 23:35:50
47,95,747,3,2017-08-29 23:35:55
48,35,242,3,2017-08-29 23:36:00
49,36,590,2,2017-08-29 23:36:05
50,58,749,4,2017-08-29 23:36:10
51,38,271,2,2017-08-29 23:36:15
52,52,855,4,2017-08-29 23:36:20
53,69,632,4,2017-08-29 23:36:25
54,39,284,2,2017-08-29 23:36:30
55,40,833,3,2017-08-29 23:36:35
56,26,172,2,2017-08-29 23:36:40
57,9,962,1,2017-08-29 23:36:45
58,24,420,3,2017-08-29 23:36:50
59,63,360,1,2017-08-29 23:36:55
60,73,794,3,2017-08-29 23:37:00
61,69,385,3,2017-08-29 23:37:05
62,5,711,1,2017-08-29 23:37:10
63,36,842,3,2017-08-29 23:37:15
64,56,772,4,2017-08-29 23:37:20
65,10,671,1,2017-08-29 23:37:25
66,64,610,3,2017-08-29 23:37:30
67,85,264,2,2017-08-29 23:37:35
68,39,316,2,2017-08-29 23:37:40
69,74,308,4,2017-08-29 23:37:45
70,27,841,3,2017-08-29 23:37:50
71,29,543,5,2017-08-29 23:37:55
