1,78,43,2017-08-29 22:49:20
2,49,46,2017-08-29 22:50:20
3,98,49,2017-08-29 22:51:19
4,99,69,2017-08-29 22:52:19
5,97,17,2017-08-29 22:53:19
6,61,97,2017-08-29 22:54:18
7,17,45,2017-08-29 22:55:18
8,64,90,2017-08-29 22:56:18
9,97,57,2017-08-29 22:57:17
10,80,83,2017-08-29 22:58:17
11,78,99,2017-08-29 22:59:17
12,67,99,2017-08-29 23:00:17
13,97,47,2017-08-29 23:01:16
14,72,61,2017-08-29 23:02:16
15,55,99,2017-08-29 23:03:16
16,94,39,2017-08-29 23:04:15
17,68,44,2017-08-29 23:05:15
18,46,24,2017-08-29 23:06:15
19,5,11,2017-08-29 23:07:14
20,60,25,2017-08-29 23:08:14
21,60,84,2017-08-29 23:09:14
22,71,14,2017-08-29 23:10:13
23,69,21,2017-08-29 23:11:13
24,49,55,2017-08-29 23:12:13
25,12,48,2017-08-29 23:13:12
26,13,39,2017-08-29 23:14:12
27,46,10,2017-08-29 23:15:12
28,7,52,2017-08-29 23:16:11
29,15,23,2017-08-29 23:17:11
30,21,34,2017-08-29 23:18:11
31,45,18,2017-08-29 23:19:10
32,71,27,2017-08-29 23:20:10
33,5,88,2017-08-29 23:21:10
34,37,53,2017-08-29 23:22:09
35,6,60,2017-08-29 23:23:09
36,53,25,2017-08-29 23:24:09
37,97,86,2017-08-29 23:25:08
38,86,37,2017-08-29 23:26:08
39,18,73,2017-08-29 23:27:08
40,82,64,2017-08-29 23:28:07
41,98,43,2017-08-29 23:29:07
42,77,94,2017-08-29 23:30:07
43,57,63,2017-08-29 23:31:06
44,75,90,2017-08-29 23:32:06
45,61,28,2017-08-29 23:33:06
46,15,90,2017-08-29 23:34:05
47,46,49,2017-08-29 23:35:05
48,23,62,2017-08-29 23:36:05
49,61,5,2017-08-29 23:37:04
50,36,22,2017-08-29 23:38:04
51,60,83,2017-08-29 23:39:04
52,80,96,2017-08-29 23:40:03
53,59,87,2017-08-29 23:41:03
54,20,29,2017-08-29 23:42:03
55,65,55,2017-08-29 23:43:03
56,7,10,2017-08-29 23:44:02
57,59,49,2017-08-29 23:45:02
58,65,69,2017-08-29 23:46:02
59,15,25,2017-08-29 23:47:01
60,26,95,2017-08-29 23:48:01
61,51,16,2017-08-29 23:49:01
62,81,71,2017-08-29 23:50:00
63,21,65,2017-08-29 23:51:00
64,78,14,2017-08-29 23:52:00
65,95,47,2017-08-29 23:52:59
66,12,50,2017-08-29 23:53:59
67,12,40,2017-08-29 23:54:59
68,94,21,2017-08-29 23:55:58
69,58,84,2017-08-29 23:56:58
70,81,79,2017-08-29 23:57:58
71,50,27,2017-08-29 23:58:57
72,90,39,2017-08-29 23:59:57
73,85,11,2017-08-30 00:00:57
74,98,4,2017-08-30 00:01:56
75,76,43,2017-08-30 00:02:56
76,44,29,2017-08-30 00:03:56
77,17,67,2017-08-30 00:04:55
78,43,64,2017-08-30 00:05:55
79,95,10,2017-08-30 00:06:55
80,31,2,2017-08-30 00:07:54
81,36,36,2017-08-30 00:08:54
82,88,2,2017-08-30 00:09:54
83,50,81,2017-08-30 00:10:53
84,48,17,2017-08-30 00:11:53
85,14,45,2017-08-30 00:12:53
86,42,91,2017-08-30 00:13:52
87,12,22,2017-08-30 00:14:52
88,47,77,2017-08-30 00:15:52
89,60,49,2017-08-30 00:16:51
90,58,50,2017-08-30 00:17:51
91,5,6,2017-08-30 00:18:51
92,84,24,2017-08-30 00:19:50
93,92,76,2017-08-30 00:20:50
94,21,39,2017-08-30 00:21:50
95,97,38,2017-08-30 00:22:50
96,87,21,2017-08-30 00:23:49
97,72,98,2017-08-30 00:24:49
98,9,87,2017-08-30 00:25:49
99,50,73,2017-08-30 00:26:48
100,90,42,2017-08-30 00:27:48
101,48,62,2017-08-30 00:28:48
102,23,85,2017-08-30 00:29:47
103,16,46,2017-08-30 00:30:47
104,31,71,2017-08-30 00:31:47
105,22,58,2017-08-30 00:32:46
106,18,5,2017-08-30 00:33:46
107,80,4,2017-08-30 00:34:46
108,12,8,2017-08-30 00:35:45
109,31,83,2017-08-30 00:36:45
110,70,38,2017-08-30 00:37:45
111,3,37,2017-08-30 00:38:44
112,96,84,2017-08-30 00:39:44
113,94,54,2017-08-30 00:40:44
114,90,85,2017-08-30 00:41:43
115,85,38,2017-08-30 00:42:43
116,45,76,2017-08-30 00:43:43
117,93,12,2017-08-30 00:44:42
118,34,20,2017-08-30 00:45:42
119,42,69,2017-08-30 00:46:42
120,86,86,2017-08-30 00:47:41
121,38,99,2017-08-30 00:48:41
122,2,98,2017-08-30 00:49:41
123,11,96,2017-08-30 00:50:40
124,71,43,2017-08-30 00:51:40
125,52,55,2017-08-30 00:52:40
126,80,25,2017-08-30 00:53:39
127,5,44,2017-08-30 00:54:39
128,71,75,2017-08-30 00:55:39
129,43,24,2017-08-30 00:56:38
130,68,50,2017-08-30 00:57:38
131,30,78,2017-08-30 00:58:38
132,39,86,2017-08-30 00:59:37
133,77,33,2017-08-30 01:00:37
134,10,60,2017-08-30 01:01:37
135,51,88,2017-08-30 01:02:37
136,14,82,2017-08-30 01:03:36
137,57,66,2017-08-30 01:04:36
138,67,9,2017-08-30 01:05:36
139,84,84,2017-08-30 01:06:35
140,52,99,2017-08-30 01:07:35
141,33,96,2017-08-30 01:08:35
142,88,27,2017-08-30 01:09:34
143,38,51,2017-08-30 01:10:34
144,3,56,2017-08-30 01:11:34
145,97,91,2017-08-30 01:12:33
146,17,8,2017-08-30 01:13:33
147,55,66,2017-08-30 01:14:33
148,63,43,2017-08-30 01:15:32
149,25,94,2017-08-30 01:16:32
150,42,18,2017-08-30 01:17:32
151,13,5,2017-08-30 01:18:31
152,38,28,2017-08-30 01:19:31
153,77,24,2017-08-30 01:20:31
154,55,59,2017-08-30 01:21:30
155,88,70,2017-08-30 01:22:30
156,84,54,2017-08-30 01:23:30
157,53,30,2017-08-30 01:24:29
158,18,100,2017-08-30 01:25:29
159,99,29,2017-08-30 01:26:29
160,14,46,2017-08-30 01:27:28
161,98,9,2017-08-30 01:28:28
162,63,6,2017-08-30 01:29:28
163,11,3,2017-08-30 01:30:27
164,36,68,2017-08-30 01:31:27
165,42,94,2017-08-30 01:32:27
166,22,17,2017-08-30 01:33:26
167,12,65,2017-08-30 01:34:26
168,68,28,2017-08-30 01:35:26
169,32,35,2017-08-30 01:36:25
170,89,36,2017-08-30 01:37:25
171,7,45,2017-08-30 01:38:25
172,48,89,2017-08-30 01:39:24
173,28,23,2017-08-30 01:40:24
174,22,20,2017-08-30 01:41:24
175,51,53,2017-08-30 01:42:24
176,5,10,2017-08-30 01:43:23
177,50,89,2017-08-30 01:44:23
178,28,56,2017-08-30 01:45:23
179,6,96,2017-08-30 01:46:22
180,31,66,2017-08-30 01:47:22
181,27,84,2017-08-30 01:48:22
182,14,21,2017-08-30 01:49:21
183,49,14,2017-08-30 01:50:21
184,48,14,2017-08-30 01:51:21
185,17,85,2017-08-30 01:52:20
186,70,25,2017-08-30 01:53:20
187,98,78,2017-08-30 01:54:20
188,27,46,2017-08-30 01:55:19
189,10,91,2017-08-30 01:56:19
190,34,78,2017-08-30 01:57:19
191,49,6,2017-08-30 01:58:18
192,30,60,2017-08-30 01:59:18
193,29,49,2017-08-30 02:00:18
194,11,31,2017-08-30 02:01:17
195,44,92,2017-08-30 02:02:17
196,62,4,2017-08-30 02:03:17
197,59,30,2017-08-30 02:04:16
198,44,26,2017-08-30 02:05:16
199,40,33,2017-08-30 02:06:16
200,56,3,2017-08-30 02:07:15
201,58,16,2017-08-30 02:08:15
202,37,50,2017-08-30 02:09:15
203,84,81,2017-08-30 02:10:14
204,54,57,2017-08-30 02:11:14
205,40,75,2017-08-30 02:12:14
206,76,60,2017-08-30 02:13:13
207,62,53,2017-08-30 02:14:13
208,39,66,2017-08-30 02:15:13
209,23,2,2017-08-30 02:16:12
210,38,59,2017-08-30 02:17:12
211,80,96,2017-08-30 02:18:12
212,68,64,2017-08-30 02:19:11
213,80,97,2017-08-30 02:20:11
214,78,16,2017-08-30 02:21:11
215,3,5,2017-08-30 02:22:10
216,4,67,2017-08-30 02:23:10
217,64,79,2017-08-30 02:24:10
218,51,46,2017-08-30 02:25:10
219,79,13,2017-08-30 02:26:09
220,55,9,2017-08-30 02:27:09
221,29,51,2017-08-30 02:28:09
222,38,99,2017-08-30 02:29:08
223,2,13,2017-08-30 02:30:08
224,18,43,2017-08-30 02:31:08
225,98,25,2017-08-30 02:32:07
226,96,48,2017-08-30 02:33:07
227,17,89,2017-08-30 02:34:07
228,73,6,2017-08-30 02:35:06
229,3,35,2017-08-30 02:36:06
230,7,8,2017-08-30 02:37:06
231,97,42,2017-08-30 02:38:05
232,44,13,2017-08-30 02:39:05
233,1,48,2017-08-30 02:40:05
234,85,99,2017-08-30 02:41:04
235,85,24,2017-08-30 02:42:04
236,61,60,2017-08-30 02:43:04
237,69,8,2017-08-30 02:44:03
238,43,3,2017-08-30 02:45:03
239,36,88,2017-08-30 02:46:03
240,85,38,2017-08-30 02:47:02
241,94,39,2017-08-30 02:48:02
242,14,6,2017-08-30 02:49:02
243,1,43,2017-08-30 02:50:01
244,70,50,2017-08-30 02:51:01
245,24,93,2017-08-30 02:52:01
246,12,3,2017-08-30 02:53:00
247,2,52,2017-08-30 02:54:00
248,7,27,2017-08-30 02:55:00
249,4,58,2017-08-30 02:55:59
250,13,98,2017-08-30 02:56:59
